108 6001
22 26 765
58 59 1140
106 104 1122
13 43 2635
28 67 1568
64 84 1567
104 70 1840
8 17 1766
107 31 968
36 13 2538
101 86 453
28 99 1060
40 3 904
83 31 1313
85 94 734
27 105 1512
16 4 644
71 3 1887
11 42 1865
33 94 2790
5 86 1830
34 5 1869
59 44 1098
33 18 1485
90 10 1021
106 37 1688
99 68 1380
16 46 1600
71 56 2130
25 105 1314
99 1 1651
43 50 1785
101 108 1618
53 49 837
52 30 1797
35 43 1785
31 49 1241
31 64 1326
48 42 1110
107 67 1876
43 57 1225
80 7 2854
106 15 1315
83 68 1372
93 11 1628
5 61 1520
77 108 2273
17 46 883
94 93 1004
10 108 1855
47 42 1950
99 30 2197
77 27 2546
87 17 1447
36 17 2194
31 38 1352
83 22 2027
76 38 1270
7 23 1266
104 33 1985
67 95 2149
71 85 589
5 70 1775
61 48 1536
77 99 1779
10 37 1321
20 12 1690
45 87 1144
7 1 1730
62 13 1107
7 79 894
10 57 1838
42 61 1890
8 30 1487
6 106 647
21 23 1663
72 59 1118
53 103 1306
56 2 704
5 63 2153
94 69 1260
61 95 1733
20 28 1376
49 52 184
16 57 1786
98 77 1233
1 57 1257
22 1 2185
38 72 1373
70 76 1561
6 61 1605
36 29 2075
107 49 584
55 5 1897
31 36 2311
5 26 1475
17 42 782
87 79 950
43 24 2308
1 93 2123
36 98 1324
48 26 1350
62 40 1498
104 2 2479
104 49 2540
53 69 1231
3 85 1840
8 63 707
14 13 1227
16 13 1864
77 65 766
14 20 1617
72 82 1820
102 93 1056
12 88 2011
82 49 2938
84 51 1869
4 74 1935
34 88 848
71 11 1104
93 87 1484
29 100 2593
97 80 444
21 73 1546
55 101 1041
28 74 1415
70 49 1466
103 68 1318
107 101 1214
15 64 869
59 64 1394
60 92 618
96 97 1892
13 9 2301
6 63 2272
10 91 2140
63 68 630
73 78 1878
33 92 2854
4 106 1245
93 73 2044
52 24 1349
19 27 2819
80 39 2270
14 60 1434
32 69 1528
47 23 1976
3 4 1526
26 36 1309
73 56 423
76 40 2071
50 108 2049
23 34 1108
77 5 1738
47 35 977
95 82 1249
18 21 1398
9 106 1485
60 65 1945
7 37 1452
63 81 1257
62 72 1910
95 73 2017
7 20 1976
41 10 795
15 100 770
35 105 1368
73 21 1988
28 81 2231
71 103 905
98 57 873
65 10 763
55 104 2147
45 3 788
81 59 1318
104 73 1948
51 15 2014
5 87 1221
81 22 1718
20 93 2102
104 98 2329
67 54 2004
102 17 1435
100 61 773
26 34 1114
68 45 1651
10 95 2340
57 8 911
16 104 1053
71 15 1186
12 26 1819
26 93 1766
34 102 2290
53 1 666
90 26 571
77 94 1762
45 103 849
44 67 2085
21 82 2561
35 60 1221
50 88 1437
37 5 1840
94 54 2098
75 14 583
25 103 429
7 88 1112
50 24 1681
79 67 1024
23 103 1598
86 30 845
55 79 1951
50 23 1907
45 25 1222
33 7 2397
38 31 2056
52 38 1685
67 87 289
92 73 2152
76 3 1861
50 104 2648
99 50 1622
35 8 1490
100 1 2462
106 25 1392
29 43 1553
66 56 2151
60 108 1339
40 27 2180
58 33 2962
53 99 1403
10 28 1840
17 103 1767
101 94 1993
1 107 980
46 27 1553
55 12 547
70 65 1862
97 10 2845
37 4 1928
27 96 2173
70 22 1997
80 31 1956
81 56 1094
80 105 1890
50 86 2221
27 59 2081
15 84 2155
51 88 1285
94 75 1433
71 97 2196
43 35 1524
15 106 941
94 102 966
108 97 2332
13 54 2190
8 80 1447
9 95 827
13 53 1308
55 38 1208
57 23 919
91 98 2301
88 30 1177
81 95 529
85 50 1056
30 91 2495
1 98 925
3 81 1647
56 58 2651
1 2 1527
17 58 2625
75 40 1819
56 35 1933
38 23 960
35 107 1551
44 28 2161
60 45 1545
101 47 1872
62 10 712
103 52 2128
53 50 754
108 53 2283
51 85 718
73 11 2364
88 2 2150
23 68 1574
67 32 1609
22 91 1196
31 100 1756
57 95 1011
8 55 1333
49 70 1976
37 12 1599
78 101 1332
45 80 902
71 102 1588
48 77 1089
18 98 762
50 36 2078
66 1 2134
25 8 1003
50 72 2209
34 108 1616
103 93 1695
89 45 1337
77 7 2442
41 54 1519
100 44 1926
27 45 2350
43 31 2198
66 88 1656
29 106 2233
44 59 1204
28 5 1686
88 29 1656
2 63 1026
72 65 1907
51 72 1700
95 7 1976
4 49 1976
61 7 1562
76 51 2151
108 95 1165
42 30 1358
64 10 1021
55 11 1974
10 82 2736
108 24 1424
49 26 1809
50 45 1514
65 106 1713
76 73 2524
99 88 1174
89 37 1247
67 100 1386
106 63 1708
99 72 1142
64 71 333
101 27 2083
68 76 636
68 49 2715
105 32 1067
85 38 1173
51 19 1085
63 101 340
67 98 1419
98 104 1962
103 60 2140
39 68 1490
108 28 783
22 3 2305
41 107 1840
40 100 2444
34 58 1765
48 12 1624
86 79 1158
61 84 2625
32 78 982
74 8 1734
74 101 976
76 17 2710
90 71 621
81 55 1246
31 73 1462
42 100 2195
28 8 1441
4 19 1235
97 90 2157
105 28 1296
36 101 890
96 68 1202
73 65 1776
14 38 1483
80 68 1475
9 17 2739
8 45 1139
99 64 1213
97 52 1980
77 64 1666
105 99 1050
18 87 1374
71 67 1364
103 96 1430
81 67 1859
39 76 1513
97 99 1587
69 89 2673
44 93 2095
108 61 707
107 58 2729
6 91 1130
80 70 1343
3 64 2364
86 52 1414
21 106 1336
4 2 1874
31 71 1180
29 6 2232
62 22 2013
83 36 1828
95 42 2214
100 29 2217
52 32 1202
11 82 923
9 99 1192
26 14 1257
96 33 2674
10 36 2262
47 8 1277
82 37 1421
31 65 853
60 37 2124
106 105 1595
22 7 1981
82 31 2290
37 57 1171
22 60 1651
51 69 1246
34 7 1921
7 105 1068
74 43 2244
40 10 1993
70 8 1421
55 45 320
105 19 598
69 55 2028
30 93 2800
55 35 1476
8 84 823
76 90 1387
88 71 1164
57 3 1041
62 88 1063
95 35 1620
10 47 1237
80 8 1616
6 53 2206
84 108 1905
30 23 1358
106 98 1370
71 93 1606
2 41 2889
34 10 2144
90 104 1477
98 22 2122
